rank,folder,model,config_name,recall,f1,cost,train_size
1,001_xgboost_phishing_count_vector_30000-1,xgboost,phishing_count_vector,0.9952561669829222,0.9699491447064262,0.055,30000
2,002_xgboost_phishing_count_vector_30000,xgboost,phishing_count_vector,0.9952561669829222,0.9695009242144177,0.0555,30000
3,003_xgboost_phishing_count_vector_90000,xgboost,phishing_count_vector,0.9952561669829222,0.9735498839907193,0.051,90000
4,004_xgboost_phishing_count_vector_30000,xgboost,phishing_count_vector,0.9943074003795066,0.9712696941612604,0.058,30000
5,005_xgboost_basic_phishing_30000,xgboost,basic_phishing,0.9943074003795066,0.9726218097447796,0.0565,30000
6,006_xgboost_basic_phishing_30000,xgboost,basic_phishing,0.9943074003795066,0.9712696941612604,0.058,30000
7,007_xgboost_basic_phishing_10000,xgboost,basic_phishing,0.9933586337760911,0.968995835261453,0.065,10000
8,008_xgboost_phishing_count_vector_10000,xgboost,phishing_count_vector,0.9933586337760911,0.9672055427251732,0.067,10000
9,009_xgboost_phishing_trigram_30000,xgboost,phishing_trigram,0.9933586337760911,0.968995835261453,0.065,30000
10,010_xgboost_phishing_bigram_10000,xgboost,phishing_bigram,0.9924098671726755,0.9662817551963049,0.0725,10000
11,011_xgboost_phishing_trigram_10000,xgboost,phishing_trigram,0.9924098671726755,0.968070337806571,0.0705,10000
12,012_xgboost_phishing_count_vector_10000,xgboost,phishing_count_vector,0.9924098671726755,0.968070337806571,0.0705,10000
13,013_xgboost_phishing_trigram_10000,xgboost,phishing_trigram,0.9924098671726755,0.9685185185185186,0.07,10000
14,014_xgboost_phishing_char_ngram_10000,xgboost,phishing_char_ngram,0.9924098671726755,0.9807782466010314,0.0565,10000
15,015_xgboost_phishing_count_vector_10000,xgboost,phishing_count_vector,0.9924098671726755,0.9685185185185186,0.07,10000
16,016_xgboost_phishing_trigram_30000,xgboost,phishing_trigram,0.9924098671726755,0.9703153988868275,0.068,30000
17,017_xgboost_phishing_char_ngram_30000,xgboost,phishing_char_ngram,0.9924098671726755,0.981698732989207,0.0555,30000
18,018_xgboost_basic_phishing_30000,xgboost,basic_phishing,0.9924098671726755,0.9716674407803065,0.0665,30000
19,019_xgboost_phishing_trigram_30000,xgboost,phishing_trigram,0.9924098671726755,0.969416126042632,0.069,30000
20,020_xgboost_phishing_char_ngram_30000,xgboost,phishing_char_ngram,0.9924098671726755,0.9812382739212008,0.056,30000
21,021_logistic_regression_phishing_count_vector_10000,logistic_regression,phishing_count_vector,0.99146110056926,0.9766355140186916,0.0655,10000
22,022_xgboost_phishing_bigram_10000,xgboost,phishing_bigram,0.99146110056926,0.967144840351689,0.076,10000
23,023_xgboost_phishing_bigram_10000,xgboost,phishing_bigram,0.99146110056926,0.9689383402874363,0.074,10000
24,024_xgboost_phishing_trigram_10000,xgboost,phishing_trigram,0.9905123339658444,0.9671144048170449,0.0805,10000
25,025_xgboost_basic_phishing_10000,xgboost,basic_phishing,0.9895635673624289,0.9666357738646896,0.0855,10000
26,026_xgboost_phishing_char_ngram_10000,xgboost,phishing_char_ngram,0.9895635673624289,0.9802631578947368,0.0705,10000
